objectid,filename,parentid,title,format,description,creator,date,location,language,genre
jpeg1,jpeg1.jpg,,Work Projects Administration Naturalization Course Certificate,image/jpeg,"A certificate for passing a 30-lesson naturalization course administered by the Work Projects Administration. Nora O'Sullivan obtained the certificate on September 20, 1939.",Work Projects Administration Division of Professional and Service Projects,1939-09-20,"Seattle, United States",eng,Continuing education materials
jpeg2,jpeg2.jpg,,Irish Winged Bull Stamp,image/jpeg,"An Irish stamp depicting a winged bull, an Irish national symbol. It includes the Irish Gaelic word for Ireland and the number 20, possibly indicating that it was worth 20 pence.",Republic of Ireland,,Ireland,gle,Mail art
jpeg3,jpeg3.jpg,,United States Saint Patrick Stamp,image/jpeg,A US stamp depicting Saint Patrick.,United States Postal Service,,United States,eng,Mail art
jpeg4,jpeg4.jpg,,Cunard Steam-Ship Company Request for Affidavit of Support,image/jpeg,A letter from the Cunard Steam-Ship Company requesting an affidavit of support from Nora O'Sullivan's nephew James. Such affidavits demonstrated to legal authorities in the US that travelers had financial assistance after arriving in the country.,Cunard Steam-Ship Company,1958-07-08,"Chicago, United States",eng,Business correspondence
jpeg5,jpeg5.jpg,,Affidavit of Support,image/jpeg,"A Cunard Steam-Ship Company document completed by Norah O'Sullivan's nephew James attesting to his ability and willingness to financially support his aunt in the US. It includes information about his citizenship, finances, and relatives.",United States Government,1958,"Riverdale, United States",eng,Affidavits
record1,,,Official Details for Evidence of Support for Immigrant Visa Applications,multiple,An official document from the American embassy in Dublin describing the required evidence of support for immigrant visa applicants. The form details the manners in which applicants are required to demonstrate that they have financial support in the US.,"American Embassy, Ireland",,"Dublin, Ireland",eng,Legal forms
jpeg6,jpeg6.jpg,record1,Official Details for Evidence of Support for Immigrant Visa Applications Page 1,image/jpeg,Page 1 of official details for evidence of support for immigrant visa applications.,"American Embassy, Ireland",,"Dublin, Ireland",eng,Legal forms
jpeg7,jpeg7.jpg,record1,Official Details for Evidence of Support for Immigrant Visa Applications Page 2,image/jpeg,Page 2 of official details for evidence of support for immigrant visa applications.,"American Embassy, Ireland",,"Dublin, Ireland",eng,Legal forms
jpeg8,jpeg8.jpg,,Irish Land Commission Form Beginning in 1963,multiple,"A document sent from the Irish Land Commission in Dublin to Nora O'Sullivan in Chicago. The form explains payments due for land owned in Ireland, and stamps indicate that the paper was used for these transactions from 1963 to 1973.",Irish Land Commission,1963-12-01,"Dublin, Ireland",eng; gle,Legal forms
jpeg9,jpeg9.jpg,jpeg8,Irish Land Commission Form Beginning in 1963 Page 2,image/jpeg,Page 2 of the Irish Land Commission form beginning in 1963.,Irish Land Commission,1963-12-01,"Dublin, Ireland",eng; gle,Legal forms
jpeg10,jpeg10.jpg,,Cunard Line List of Passengers,multiple,"A passenger list for Cunard Line's R.M.S. Scythia and its sail from Liverpool to New York, which departed on April 8, 1922. In addition to the account of passengers, it provides details about subjects including events, amenities, and customs rules.",Cunard Steam-Ship Company,1922,"Liverpool, United Kingdom",eng,Passenger lists
jpeg11,jpeg11.jpg,jpeg10,Cunard Line List of Passengers Pages 1 and 2,image/jpeg,Pages 1 and 2 of the Cunard Line list of passengers.,Cunard Steam-Ship Company,1922,"Liverpool, United Kingdom",eng,Passenger lists
jpeg12,jpeg12.jpg,jpeg10,Cunard Line List of Passengers Pages 3 and 4,image/jpeg,Pages 3 and 4 of the Cunard Line list of passengers.,Cunard Steam-Ship Company,1922,"Liverpool, United Kingdom",eng,Passenger lists
jpeg13,jpeg13.jpg,jpeg10,Cunard Line List of Passengers Pages 5 and 6,image/jpeg,Pages 5 and 6 of the Cunard Line list of passengers.,Cunard Steam-Ship Company,1922,"Liverpool, United Kingdom",eng,Passenger lists
jpeg14,jpeg14.jpg,jpeg10,Cunard Line List of Passengers Pages 7 and 8,image/jpeg,Pages 7 and 8 of the Cunard Line list of passengers.,Cunard Steam-Ship Company,1922,"Liverpool, United Kingdom",eng,Passenger lists
jpeg15,jpeg15.jpg,jpeg10,Cunard Line List of Passengers Pages 9 and 10,image/jpeg,Pages 9 and 10 of the Cunard Line list of passengers.,Cunard Steam-Ship Company,1922,"Liverpool, United Kingdom",eng,Passenger lists
jpeg16,jpeg16.jpg,jpeg10,Cunard Line List of Passengers Pages 11 and 12,image/jpeg,Pages 11 and 12 of the Cunard Line list of passengers.,Cunard Steam-Ship Company,1922,"Liverpool, United Kingdom",eng,Passenger lists
jpeg17,jpeg17.jpg,jpeg10,Cunard Line List of Passengers Pages 13 and 14,image/jpeg,Pages 13 and 14 of the Cunard Line list of passengers.,Cunard Steam-Ship Company,1922,"Liverpool, United Kingdom",eng,Passenger lists
